id,pseudo_group,label,nn_corr,nn_same_label
tr_0000000,0,2,0.9933529,True
tr_0000001,1,0,0.99669456,True
tr_0000002,2,0,0.99043924,True
tr_0000003,3,0,0.92319745,True
tr_0000004,14629,0,0.9942906,True
tr_0000005,4,0,0.9628445,True
tr_0000006,5,0,0.99904716,True
tr_0000007,6,1,0.99794465,True
tr_0000008,7,2,0.9120619,True
tr_0000009,8,2,0.9972679,True
tr_0000010,9,0,0.9789239,True
tr_0000011,20065,0,0.9882502,True
tr_0000012,10,0,0.9930146,True
tr_0000013,11,0,0.7461046,True
tr_0000014,6069,2,0.99935734,True
tr_0000015,9840,0,0.99772936,True
tr_0000016,12,2,0.9733263,True
tr_0000017,13,0,0.968806,True
tr_0000018,14,0,0.98121226,True
tr_0000019,15,0,0.99553186,True
tr_0000020,16,2,0.9792449,True
tr_0000021,17,0,0.91023564,True
tr_0000022,8,2,0.99798405,True
tr_0000023,18,0,0.9875185,True
tr_0000024,19,0,0.99460036,True
tr_0000025,20,0,0.9730727,True
tr_0000026,21,0,0.995268,True
tr_0000027,1974,0,0.98334247,True
tr_0000028,22,0,0.9353055,True
tr_0000029,23,2,0.9989282,True
tr_0000030,24,2,0.9963611,True
tr_0000031,25,0,0.9952111,True
tr_0000032,26,0,0.987269,True
tr_0000033,27,0,0.99493605,True
tr_0000034,28,2,0.9914492,True
tr_0000035,29,0,0.98171604,True
tr_0000036,30,0,0.98844635,True
tr_0000037,31,2,0.9370771,True
tr_0000038,32,0,0.8867761,True
tr_0000039,33,0,0.99159825,True
tr_0000040,34,0,0.8806509,True
tr_0000041,32603,0,0.99575174,True
tr_0000042,35,0,0.992251,True
tr_0000043,36,2,0.95286405,True
tr_0000044,37,0,0.99280745,True
tr_0000045,38,0,0.9873145,True
tr_0000046,39,0,0.97157425,True
tr_0000047,40,2,0.95472103,True
tr_0000048,41,0,0.99264574,True
tr_0000049,42,2,0.96032786,True
tr_0000050,43,0,0.92913246,True
tr_0000051,44,0,0.95474225,True
tr_0000052,45,2,0.98667955,True
tr_0000053,46,0,0.9130434,True
tr_0000054,34135,0,0.9984981,True
tr_0000055,16126,2,0.9988123,True
tr_0000056,47,0,0.92392725,True
tr_0000057,48,0,0.9913843,True
tr_0000058,49,0,0.91643834,True
tr_0000059,50,0,0.99638236,True
tr_0000060,30180,0,0.98853344,True
tr_0000061,51,0,0.9935407,True
tr_0000062,52,0,0.99828196,True
tr_0000063,53,2,0.9990538,True
tr_0000064,54,2,0.9993263,True
tr_0000065,55,2,0.98782456,True
tr_0000066,56,2,0.99027807,True
tr_0000067,57,0,0.9974568,True
tr_0000068,58,0,0.94245976,True
tr_0000069,59,0,0.9826614,True
tr_0000070,60,2,0.96115744,True
tr_0000071,12408,2,0.99967426,True
tr_0000072,61,0,0.95856076,True
tr_0000073,62,2,0.9989175,True
tr_0000074,63,0,0.9742844,True
tr_0000075,64,0,0.9869683,True
tr_0000076,65,0,0.98684275,True
tr_0000077,66,2,0.9956527,True
tr_0000078,35389,0,0.9946368,True
tr_0000079,67,2,0.8375085,True
tr_0000080,68,2,0.9990499,True
tr_0000081,69,2,0.9909935,True
tr_0000082,70,0,0.9781138,True
tr_0000083,71,0,0.83931875,True
tr_0000084,72,0,0.9772339,True
tr_0000085,73,0,0.996523,True
tr_0000086,10582,2,0.99919957,True
tr_0000087,74,2,0.990415,True
tr_0000088,75,0,0.9952689,True
tr_0000089,76,2,0.98196036,True
tr_0000090,77,2,0.99724823,True
tr_0000091,36564,0,0.999324,True
tr_0000092,78,0,0.97354096,True
tr_0000093,79,0,0.89362127,True
tr_0000094,80,0,0.99933493,True
tr_0000095,81,0,0.97232974,True
tr_0000096,82,2,0.99875915,True
tr_0000097,10278,2,0.9950055,True
tr_0000098,3079,0,0.9944177,True
tr_0000099,83,0,0.97291076,True
tr_0000100,84,2,0.994946,True
tr_0000101,85,0,0.9960924,True
tr_0000102,86,2,0.96579546,True
tr_0000103,87,0,0.9914554,True
tr_0000104,88,2,0.99721587,True
tr_0000105,39108,2,0.9966431,True
tr_0000106,89,0,0.9439912,True
tr_0000107,15060,0,0.9896453,True
tr_0000108,90,0,0.9648685,True
tr_0000109,91,2,0.99622256,True
tr_0000110,92,0,0.9979646,True
tr_0000111,22374,2,0.9962768,True
tr_0000112,93,0,0.98016894,True
tr_0000113,94,0,0.9992806,True
tr_0000114,95,2,0.98338753,True
tr_0000115,96,0,0.9811866,True
tr_0000116,97,1,0.9792637,True
tr_0000117,98,0,0.9900542,True
tr_0000118,99,0,0.996219,True
tr_0000119,27295,0,0.9993543,True
tr_0000120,5164,0,0.9908448,True
tr_0000121,100,1,0.90277624,False
tr_0000122,101,2,0.9967423,True
tr_0000123,102,2,0.9966839,True
tr_0000124,8830,0,0.99368083,True
tr_0000125,103,0,0.9946368,True
tr_0000126,104,2,0.9230033,True
tr_0000127,105,0,0.99685633,True
tr_0000128,106,2,0.9650677,True
tr_0000129,107,0,0.99150103,True
